02-31-2016  0.00
7-1-1 台 254.18
7-1-2 台 325.93
7-1-3 台 416.08
7-1-4 台 525.69
7-1-5 台 1065.30
7-1-6 台 2776.59
7-1-7 台 5706.95
7-1-8 台 292.16
7-1-9 台 314.08
7-1-10 台 337.54
7-1-11 台 2259.19
7-1-12 台 2877.04
7-1-13 台 3670.74
7-1-14 台 0.00
7-1-15 台 0.00
7-1-16 台 0.00
7-1-17  853.23
7-1-18  1447.67
7-1-19  2537.49
7-1-20  5075.52
7-1-21 台 7048.00
7-1-22 台 11743.74
7-1-23 台 16234.57
7-1-24 台 20451.29
7-1-25 台 702.22
7-1-26 台 1150.82
7-1-27 台 1710.98
7-1-28 台 2564.66
7-1-29 台 3132.90
7-1-30 台 160.80
7-1-31 台 386.24
7-1-32 台 210.91
7-1-33 台 411.36
7-1-34 台 505.46
7-1-35 台 6.27
7-1-37 台 274.42
7-1-38 台 357.64
7-1-39 个 152.08
7-1-40 个 166.41
7-1-41 个 157.23
7-1-42 个 167.76
7-1-43 m2 193.70
7-1-44 m2 153.92
7-1-45 100kg 5035.46
7-1-46 100kg 4027.18
7-1-47 100kg 5072.79
7-1-48 100kg 1815.88
7-1-49 台 100.14
7-1-50 台 22.76
7-1-51 台 1957.11
7-1-52 台 0.00
7-1-53 台 0.00
7-1-54 台 0.00
7-1-55 台 0.00
7-1-56 台 0.00
7-1-57 台 136.32
7-1-58 台 522.41
7-1-59 台 1134.75
7-1-60 台 2355.08
7-1-61 台 4102.96
7-1-62 台 5735.08
7-1-63 台 221.78
7-1-64 台 318.59
7-1-65 台 1009.46
7-1-66 台 2230.79
7-1-67 台 3431.02
7-1-68 台 165.13
7-1-69 台 198.07
7-1-70 台 242.80
7-1-71 台 23.50
7-1-72 台 0.00
7-1-73 台 0.00
7-1-74 台 0.00
7-1-75 台 0.00
7-1-76 台 0.00
7-1-77 台 0.00
7-1-78 台 0.00
7-1-79 台 0.00
7-1-80 台 0.00
7-1-81 台 0.00
7-1-82 台 558.94
7-1-83 台 681.39
7-1-84 台 1174.01
7-1-85 台 1800.85
7-1-86 100kg 1505.18
7-1-87 100kg 938.18
7-2-1 10m2 2187.23
