02-31-2016  0.00
02-31-2015  0.00
12-2-183 10m2 120.41
12-2-184 10m2 148.77
12-2-185 10m2 120.52
12-2-186 10m2 0.00
12-2-18712 10m2 0.00
12-2-189 10m2 0.00
12-2-19012 10m2 0.00
12-2-192 10m2 52.12
12-2-193 10m2 39.17
12-2-19412 10m2 57.72
12-2-196 10m2 40.89
12-2-197 10m2 57.84
12-2-198 10m 0.00
12-2-199 10m 0.00
12-2-200 10m 0.00
12-2-201 10m 0.00
12-2-202 10m 0.00
12-2-203 10m2 168.11
12-2-204 10m2 138.70
12-2-205 10m2 165.27
12-2-206 10m2 137.03
12-2-207112 10m2 25.86
12-2-209112 10m2 23.39
2-210112-2 10m2 24.61
21112-2-212 10m2 22.73
12-2-213 100kg 19.77
12-2-214 100kg 19.70
12-2-215 100kg 14.32
12-2-21612 100kg 14.24
12-2-218 100kg 14.22
12-2-220 100kg 0.00
12-2-221 100kg 0.00
12-2-222 100kg 0.00
12-2-223 100kg 0.00
12-2-224 100kg 0.00
12-2-219 100kg 0.00
12-2-22512 10m2 25.28
12-2-227 10m2 25.19
12-2-228 10m2 18.82
12-2-229 10m2 18.69
12-2-230 10m2 17.91
12-3-1 10m2 124.66
12-3-2 10m2 61.44
12-3-3 10m2 102.39
12-3-4 10m2 87.04
12-3-5 10m2 0.00
12-3-6 10m2 0.00
12-3-7 10m2 241.80
12-3-8 10m2 116.70
12-3-9 10m2 187.63
12-3-10 10m2 93.78
12-3-11 10m2 167.93
12-3-13 100k? 115.33
12-3-14 100k? 61.12
12-3-15 100k? 85.81
12-3-16 100k? 45.96
12-3-17 100k? 70.65
12-3-18 100k? 35.32
12-3-19 100kg 0.00
12-3-20 100kg 0.00
12-3-21 100kg 0.00
12-3-22 100kg 0.00
12-3-23 100kg 0.00
12-3-24 100kg 0.00
12-3-25 10m2 147.03
12-3-26 10m2 79.51
12-3-27 10m2 109.81
12-3-28 10m2 60.47
12-3-29 10m2 86.53
12-3-30 10m2 43.24
12-3-31 10m2 125.05
12-3-32 10m2 74.02
12-3-33 10m2 54.59
12-3-34 10m2 54.59
12-3-35 10m2 0.00
12-3-36 10m2 195.48
12-3-37 10m2 132.42
12-3-38 10m2 98.04
12-3-39 10m2 98.04
12-3-40 10m2 97.77
12-3-41 100kg 0.00
12-3-42 100kg 0.00
12-3-43 100kg 0.00
12-3-44 100kg 0.00
12-3-45 100kg 0.00
12-3-46 10m2 131.14
12-3-47 10m2 65.40
12-3-48 10m2 65.40
12-3-49 10m2 52.58
12-3-50 10m2 0.00
12-3-51 100kg 0.00
12-3-52 100kg 0.00
12-3-53 100kg 0.00
12-3-54 100kg 0.00
12-3-55 100kg 0.00
12-3-56 10m2 138.10
12-3-57 10m2 69.48
12-3-58 10m2 92.11
12-3-59 10m2 46.76
12-3-60 10m2 0.00
12-3-61 10m2 0.00
12-3-62 10m2 0.00
12-3-63 10m2 0.00
12-3-64 100kg 109.82
12-3-65 100kg 58.13
12-3-66 100kg 74.14
12-3-67 100kg 0.00
12-3-68 10m2 143.58
12-3-69 10m2 77.51
12-3-70 10m2 90.73
12-3-71 10m2 46.42
12-3-72 100kg 75.43
12-3-73 100kg 42.62
12-3-74 100kg 51.15
12-3-75 100kg 0.00
12-3-76 10m2 110.51
12-3-77 10m2 167.72
12-3-78 10m2 83.68
12-3-79 10m2 0.00
12-3-80 10m2 140.16
12-3-81 10m2 70.07
12-3-82 10m2 92.93
12-3-83 10m2 47.06
12-3-84 100kg 0.00
12-3-85 100kg 0.00
12-3-86 100kg 0.00
12-3-87 100kg 0.00
12-3-88 10m2 147.06
12-3-89 10m2 78.01
12-3-90 10m2 91.39
12-3-91 10m2 46.66
12-3-92 100kg 77.88
12-3-93 100kg 43.10
12-3-94 100kg 48.92
12-3-95 100kg 26.14
12-3-96 10m2 115.29
12-3-97 10m2 59.00
12-3-98 10m2 72.24
12-3-99 10m2 36.90
12-3-100 10m 191.69
12-3-101 10m 94.45
12-3-102 10m 136.51
12-3-103 10m 68.73
12-3-104 100kg 96.43
12-3-105 100kg 52.90
12-3-106 100kg 60.85
12-3-107 100kg 29.52
12-3-108 10m2 122.79
12-3-109 10m2 66.63
12-3-110 10m2 71.49
