02-31-2016  0.00
1-1-1 台 518.97
1-1-2 台 988.28
1-1-3 台 1833.23
1-1-4 台 2333.47
1-1-5 台 3247.06
1-1-6 台 4986.97
1-1-7 台 6712.46
1-1-8 台 9534.48
1-1-9 台 13962.46
1-1-10 台 15905.38
1-1-11 台 20576.58
1-1-12 台 26974.79
1-1-13 台 36676.11
1-1-14 台 48131.39
1-1-15 台 66135.40
1-1-16 台 89235.04
1-1-17 台 114735.24
1-1-18 台 140475.72
1-1-19 台 191844.46
1-1-20 台 241642.19
1-1-21 台 8180.43
1-1-22 台 9432.61
1-1-23 台 13089.48
1-1-24 台 17174.90
1-1-25 台 20517.86
1-1-27 台 38097.75
1-1-28 台 50881.08
1-1-29 台 69992.74
1-1-30 台 25122354.83
1-1-31 台 146344.16
1-1-32 台 0.00
1-1-33 台 169184.35
1-1-34 台 270226.97
1-1-35 台 321153.37
1-1-36 台 363978.50
1-1-37 台 0.00
1-1-38 台 0.00
1-1-39 台 1450.76
1-1-40 台 2296.64
1-1-41 台 3256.73
1-1-42 台 4825.09
1-1-43 台 6203.70
1-1-44 台 0.00
1-1-45 台 0.00
1-1-46 台 0.00
1-1-47 台 0.00
1-1-48 台 0.00
1-1-49 台 25095.98
1-1-50 台 28689.51
1-1-51 台 32929.10
1-1-52 台 39851.40
1-1-53 台 1576.91
1-1-54 台 3626.17
1-1-55 台 5701.41
1-1-56 台 7932.97
1-1-57 台 11062.45
1-1-58 台 15783.43
1-1-59 台 20008.08
1-1-60 台 23331.88
1-1-61 台 26827.65
1-1-62 台 28809.70
1-1-63 台 32537.12
1-1-64 台 39466.68
1-1-65 台 46813.55
1-1-66 台 53076.09
1-1-67 台 73328.51
1-1-68 台 104699.00
1-1-69 台 135325.59
1-1-70 台 163246.67
1-1-71 台 190642.20
1-1-72 台 1727.39
1-1-73 台 2582.85
1-1-74 台 3594.72
1-1-75 台 5268.62
1-1-76 台 7236.95
1-1-77 台 10146.07
1-1-78 台 13693.35
1-1-79 台 17146.50
1-1-80 台 20837.12
1-1-81 台 24145.17
1-1-82 台 27673.33
1-1-83 台 31837.84
1-1-84 台 0.00
1-1-85 台 0.00
1-1-86 台 0.00
1-1-87 台 0.00
1-1-88 台 0.00
1-1-89 台 1553.99
1-1-90 台 3340.58
1-1-91 台 4742.83
1-1-92 台 7178.31
1-1-93 台 10679.83
1-1-04 台 16225.15
1-1-95 台 19073.15
1-1-96 台 23356.47
1-1-97 台 26643.58
1-1-98 台 0.00
1-1-99 台 47834.51
1-1-100 台 63339.18
1-1-101 台 91449.14
1-1-102 台 114985.77
1-1-103 台 0.00
1-1-104 台 135808.98
1-1-105 台 157817.33
1-1-106 台 200209.47
1-1-107 台 244078.28
1-1-108 台 1323.56
1-1-109 台 4827.54
1-1-110 台 6441.25
1-1-111 台 9002.82
1-1-112 台 13088.10
1-1-113 台 0.00
1-1-114 合 16551.22
1-1-115 合 20040.37
1-1-11 合 25769.64
1-1-118 合 33823.33
1-1-120 台 90069.07
1-1-121 台 114536.59
1-1-122 台 139458.35
1-1-123 台 162519.78
1-1-124 台 206891.20
1-1-125 台 0.00
1-1-126 台 0.00
1-1-127 台 0.00
1-1-128 台 0.00
1-1-129 台 0.00
1-1-130 台 0.00
1-1-131 台 0.00
1-1-132 台 1535.22
1-1-133 台 2764.14
1-1-134 台 4052.41
1-1-135 台 5557.75
1-1-136 台 7448.69
1-1-137 台 0.00
1-1-138 台 0.00
1-1-139 台 0.00
1-1-140 台 0.00
1-1-141 台 22811.95
1-1-142 台 26405.85
1-1-143 台 29868.95
1-1-144 台 33074.44
1-1-145 台 0.00
1-1-146 台 0.00
1-1-147 台 0.00
1-1-148 台 0.00
1-1-149 台 0.00
1-1-152 台 10181.16
1-1-153 台 20119.38
1-1-154 台 26273.31
1-1-155 台 0.00
1-1-156 台 0.00
1-1-157 组 1221.37
1-1-158 组 2029.68
1-1-159 组 2529.41
1-1-160  1850.52
1-1-161  2150.03
1-2-1  1696.85
1-2-2  3496.75
1-2-3  5559.09
1-2-4  7454.15
1-2-5  9844.22
1-2-6  14112.01
