02-31-2016  0.00
2-1-1 t 2792.35
2-1-2 t 2440.74
2-1-3 t 2120.01
2-1-4 t 1723.08
2-1-5 t 3149.44
2-1-6 t 3128.28
2-1-7 t 3095.37
2-1-8 t 2910.80
2-1-9 t 3453.99
2-1-10 t 3229.75
2-1-11 t 2920.29
2-1-12 t 8785.80
2-1-13 t 0.00
2-1-14 套 12812.55
2-1-15 套 17749.86
2-1-16 套 19098.81
2-1-17 套 22250.50
2-1-14 套 0.00
2-1-15 套 0.00
2-1-16 套 0.00
2-1-17 套 0.00
2-1-18 t 4846.43
2-1-19 t 4549.41
2-1-20 t 4238.10
2-1-21 t 3662.92
2-1-18  0.00
2-1-19  0.00
2-1-20  0.00
2-1-21  0.00
2-1-22 t 5191.23
2-1-23 t 4814.48
2-1-24 t 4431.40
2-1-25 t 4127.37
2-1-22 t 0.00
2-1-23 t 0.00
2-1-24 t 0.00
2-1-25 t 0.00
2-1-22 t 0.00
2-1-23 t 0.00
2-1-24 t 0.00
2-1-25 t 0.00
2-1-26 t 4911.32
2-1-27 t 4742.42
2-1-28 t 4218.32
2-1-29 t 3935.23
2-1-26 t 0.00
2-1-27 t 0.00
2-1-28 t 0.00
2-1-29 t 0.00
2-1-30 t 1199.64
2-1-31 t 1088.66
2-1-32 t 1019.12
2-1-33 t 9122.90
2-1-34 t 8390.69
2-1-35 t 7272.36
2-1-36 t 6568.29
2-1-33 t 0.00
2-1-34 t 0.00
2-1-35 t 0.00
2-1-36 t 0.00
2-1-33 t 0.00
2-1-34 t 0.00
2-1-35 t 0.00
2-1-36 t 0.00
2-1-37 台 784.45
2-1-38 台 1474.58
2-1-39 t 4539.60
2-1-40 t 3918.98
2-1-41 t 10548.52
2-1-42 t 12872.50
2-1-39 t 0.00
2-1-40 t 0.00
2-1-41 t 0.00
2-1-42 t 0.00
2-1-43 台 11631.20
2-1-44 台 15042.40
2-1-45 台 3918.98
2-1-46 台 10548.52
2-1-43 台 0.00
2-1-44 台 0.00
2-1-45 台 0.00
