02-31-2016  0.00
3-1-1 t 11431.83
3-1-2 t 9677.09
3-1-3 t 7831.66
3-1-4 t 7286.67
3-1-5 t 6425.45
3-1-6 t 6239.75
3-1-7 t 5978.74
3-1-8 t 5431.45
3-1-9 t 4101.69
3-1-10 个 9864.10
3-1-11 个 9241.26
3-1-12 个 8713.15
3-1-13 个 7426.53
3-1-14 个 7117.14
3-1-15 个 6866.24
3-1-16 个 6595.02
3-1-17 个 6350.07
3-1-18 t 16030.84
3-1-19 t 9315.88
3-1-20 t 8061.10
3-1-21 t 6494.45
3-1-22 t 5777.08
3-1-23 t 5287.57
3-1-24 t 0.00
3-1-25 t 14807.63
3-1-26 t 13632.46
3-1-27 个 116.23
3-1-28 个 142.80
3-1-29 个 174.93
3-1-30 个 462.90
3-1-31 个 492.16
3-1-32 个 551.00
3-1-33 个 711.89
3-1-34 个 874.09
3-1-35 个 992.32
3-1-36 个 1099.49
3-1-37 个 1240.17
3-1-38 个 1413.11
3-1-39 个 1580.54
3-1-40 个 2080.41
3-1-41 个 148.48
3-1-42 个 182.47
3-1-43 个 249.32
3-1-44 个 581.98
3-1-45 个 665.56
3-1-46 个 748.11
3-1-47 个 936.36
3-1-48 个 1117.81
3-1-49 个 1264.24
3-1-50 个 1398.55
3-1-51 个 1584.69
3-1-52 个 1806.36
3-1-53 个 2020.72
3-1-54 个 2423.97
3-1-55 个 206.58
3-1-56 个 257.91
3-1-57 个 330.44
3-1-58 个 748.35
3-1-59 个 842.24
3-1-60 个 936.27
3-1-61 个 1220.40
3-1-62 个 1494.60
3-1-63 个 1702.40
3-1-64 个 1913.16
3-1-65 个 2153.56
3-1-66 个 2457.97
3-1-67 个 2747.47
3-1-68 个 3492.44
3-1-69 个 241.63
3-1-70 个 301.97
3-1-71 个 383.69
3-1-72 个 828.53
3-1-73 个 934.90
3-1-74 个 1045.35
3-1-75 个 1305.36
3-1-76 个 1552.15
3-1-78 个 1773.97
3-1-79 个 2275.00
3-1-80 个 2579.34
3-1-81 个 2890.41
3-1-82 个 3464.11
3-1-83 个 1289.73
3-1-84 个 1382.01
3-1-85 个 1615.90
3-1-86 个 1718.02
3-1-87 个 1882.33
3-1-88 个 2204.46
3-1-89 个 2535.24
3-1-90 个 2761.65
3-1-91 个 3254.18
