02-31-2016  0.00
11-1-1 100m 0.00
11-1-2 100m 0.00
11-1-3 100m 0.00
11-1-4 100m 0.00
11-1-5 100m 0.00
11-1-6 100m 0.00
11-1-7 100m2 4879.68
11-1-8 100m2 373.82
11-1-9 100m2 2627.42
11-1-1011 100m2 246.89
11-1-12 100m2 1258.92
11-1-13 100m2 660.75
11-1-14 100m2 511.14
11-1-15 100m2 5041.69
11-1-17 100m 1288.67
11-1-18 100m 113.40
11-1-19 100m 887.63
11-1-2011 100m 37.74
11-1-22 100m3 4086.43
11-1-23 100m3 6681.49
11-1-24 100m3 9794.95
11-1-25 100m3 17967.81
11-1-26 100m3 40370.93
11-1-27 100m3 87653.74
11-1-28 100m3 1594.86
11-1-29 100m3 1845.04
11-1-30 100m3 2059.24
11-1-31 100m3 3448.43
11-1-36 100m2 2179.42
11-1-37 100m2 3332.81
11-1-32 100m2 12826.83
11-1-3311 100m2 16090.47
11-1-35 100m2 22919.07
11-1-39 100m3 0.00
11-1-40 100m3 0.00
11-1-41 100m3 6130.42
11-1-43 100m3 8017.18
11-1-4411 100m3 9671.98
11-1-46 100m3 21716.42
11-1-47 100m3 6385.74
11-1-4811 100m3 8039.01
11-1-50 100m3 11004.87
11-1-51 100m3 32650.46
11-1-52 100m3 41236.11
11-1-53 沟千米 0.00
11-1-54 100m 2051.68
11-1-55 100m 6257.49
11-1-58 100m 371.35
11-1-63 个 142.73
11-1-64 个 261.14
11-1-65 个 72.67
11-2-1 100m 2632.15
11-2-2 100m 2667.30
11-2-3 100m 2718.07
11-2-4 100m 3066.11
11-2-5 100m 3112.91
11-2-6 100m 3178.00
11-2-7 100m 3846.15
11-2-8 100m 3906.27
11-2-9 100m 3992.79
11-2-10 100m 4259.98
11-2-11 100m 4332.65
11-2-12 100m 4432.69
11-2-13 100m 4727.96
11-2-14 100m 4815.35
11-2-15 100m 4929.71
11-2-16 100m 4915.49
11-2-17 100m 5008.32
11-2-18 100m 5129.79
11-2-19 100m 5936.77
11-2-20 100m 6053.87
11-2-21 100m 6211.09
11-2-22 100m 246.24
11-2-23 100m 306.53
11-2-24 100m 433.33
11-2-25 100m 495.47
11-2-26 100m 560.95
11-2-27 100m 563.54
11-2-28 100m 681.63
1-2-29 100m 1294.35
11-2-3011 100m 1636.53
2-3111-2 100m 2292.11
3211-2-33 100m 2624.56
1-2-34 100m 2966.77
11-2-35 100m 2988.26
11-2-36 100m 2086.44
11-2-37 100m 2107.57
11-2-38 100m 2138.58
11-2-39 100m 2525.63
11-2-40 100m 2560.78
11-2-41 100m 2609.98
11-2-42 100m 3311.89
4311-2-44 100m 3361.06
11-2-451 100m 3427.82
11-2-47 100m 3964.21
11-2-4811 100m 4915.49
11-2-50 100m 5008.32
11-2-51 100m 5129.79
11-2-5211 100m 5774.99
11-2-54 100m 122.98
11-2-55 100m 245.58
11-2-56 100m 312.07
11-2-57 100m 433.33
11-2-58 100m 563.54
11-2-59 100m 681.63
11-2-60 100m 659.19
11-2-61 100m 1290.26
11-2-6211 100m 2292.11
11-2-64 100m 2988.26
11-2-65 100m 0.00
11-2-6611 100m 4043.89
11-2-68 100m 4351.30
11-2-69 100m 4870.76
11-2-70 100m 5050.17
11-2-71 100m 9600.06
11-2-72 100m 9929.98
11-2-73 100m 14737.48
11-2-74 100m 18887.11
11-2-7511 100m 19548.58
11-2-77 100m 12272.54
11-2-78 100m 18217.02
11-2-7911 100m 29022.12
11-2-81 100m 37233.65
11-2-82 100m 38486.99
11-2-8311 100m 41691.80
11-2-85 100m 0.00
11-2-86 100m 0.00
11-2-87 100m 0.00
11-2-88 100m 0.00
11-2-89 100m 937.42
11-2-90 100m 1285.33
11-2-91 100m 1362.45
11-2-93 100m 2631.11
11-2-94 100m 4782.87
11-2-95 100m 5125.50
11-2-9611 100m 4223.24
2-9711-2 100m 8399.97
9811-2-99 100m 12629.89
11-2-10011 100m 16790.21
11-2-102 100m 0.00
11-2-103 孔千米 382.84
11-2-104 孔千米 0.00
11-2-105 100m 475.17
11-2-106 100m 700.72
11-2-107 100m 980.20
11-2-108 100m 1409.83
11-2-109 100m 2094.12
11-2-110 100m 2751.63
11-2-112 100m 4019.66
11-2-11311 处 7260.75
2-11411-2 处 1650.82
11-2-11611 处 9465.59
11-2-118 处 2106.25
11-2-119 处 18141.39
11-2-120 处 3848.01
11-2-121 处 25284.22
11-2-122 处 5244.48
11-2-123 m 401.84
11-2-124 m 413.42
11-2-125 m 807.89
11-2-126 m 822.11
11-2-127 m 835.53
11-2-128 m 0.00
11-2-129 个 4829.08
11-2-130 个 6971.00
11-2-131 个 7158.72
11-2-132 个 5062.20
11-2-133 个 5229.75
11-2-134 个 5696.54
11-2-135 个 5889.16
11-2-136 个 6097.91
11-2-137 个 5850.37
11-2-138 个 10537.55
11-2-139 个 10817.08
11-2-140 个 6030.50
11-2-141 个 6244.69
11-2-142 个 6761.92
11-2-143 个 8667.16
11-2-144 个 8776.20
11-2-145 个 9815.08
11-2-146 个 13238.04
11-2-147 个 13417.92
11-2-148 个 9497.69
11-2-149 个 10930.75
11-2-150 个 11409.49
11-2-151 个 11833.45
11-2-152 个 12057.21
11-2-153  2782.20
11-2-154  3186.02
11-2-155  4487.78
11-2-156 个 5172.09
11-2-157 个 7078.74
11-2-158 个 7218.86
11-2-159 个 5335.11
11-2-160 个 5495.80
11-2-161 个 5645.26
11-2-162 个 5853.17
11-2-163 个 6158.05
11-2-16411 个 6149.21
11-2-166 个 10975.74
11-2-167 个 11238.16
11-2-168 个 6365.09
11-2-16911 个 6801.63
11-2-171 个 7410.16
11-2-172 个 8796.59
11-2-173 个 10028.43
11-2-174 个 13695.68
11-2-175 个 9825.64
11-2-17611 个 10943.11
11-2-178 个 11579.73
11-2-179 个 11946.02
11-2-18011 个 29260.83
11-2-182 个 37067.22
11-2-183 个 37999.25
11-2-184 个 2363.90
11-2-185 个 2651.80
11-2-180 个 0.00
11-2-181 个 0.00
11-2-18211 个 0.00
11-2-184 个 0.00
