02-31-2016  0.00
4-1-1 台 2870.84
4-1-2 台 3239.05
4-1-3 台 5570.53
4-1-4 台 6473.79
4-1-1 台 0.00
4-1-2 台 0.00
4-1-3 台 0.00
4-1-4 台 0.00
4-1-5 台 9310.59
4-1-6 台 14324.94
4-1-7 台 17019.69
4-1-5 台 0.00
4-1-6 台 0.00
4-1-7 台 0.00
4-1-8 台 2131.49
4-1-9 台 2238.17
4-1-10 台 2586.59
4-1-11 台 4201.96
4-1-12 台 4632.67
4-1-13 台 5021.34
4-1-14 台 5749.81
4-1-15 台 6890.86
4-1-12 台 0.00
4-1-13 台 0.00
4-1-14 台 0.00
4-1-15 台 0.00
4-1-16 台 943.63
4-1-17 台 1368.50
4-1-18 台 1530.91
4-1-19 台 1717.85
4-1-20 台 1941.11
4-1-21 台 2114.35
4-1-18 台 0.00
4-1-19 台 0.00
4-1-20 台 0.00
4-1-21 台 0.00
4-1-22 台 2320.78
4-1-23 台 2757.39
4-1-24 台 3672.56
4-1-25 台 4127.01
4-1-26 台 1213.19
4-1-27 台 1377.25
4-1-28 台 1563.43
4-1-29 台 1695.77
4-1-30 台 1910.75
4-1-31 台 2314.79
4-1-32 台 3327.21
4-1-33 台 3753.49
4-1-34  727.24
4-2-1 台 2340.58
4-2-2 台 3305.85
4-2-3 台 5692.85
4-2-4 台 6545.05
4-2-1 台 0.00
4-2-2 台 0.00
4-2-3 台 0.00
4-2-4 台 0.00
4-2-5 台 2001.09
4-2-6 台 2335.42
4-2-7 台 2161.25
4-2-8 台 2553.08
4-2-9 台 5329.05
4-2-10 台 6229.93
4-2-11 台 7233.41
4-2-12 台 8241.80
4-2-9 台 0.00
4-2-10 台 0.00
4-2-11 台 0.00
4-2-12 台 0.00
4-2-13 台 1721.23
4-2-14 台 1797.49
4-2-15 组 1057.52
4-2-16 组 1274.07
4-2-17 组 1794.71
4-2-18 组 2241.47
4-2-19 组 2823.90
4-2-20 组 859.26
4-2-21 组 654.15
4-2-22 组 1498.43
4-2-23 台 1094.43
4-2-24 台 625.38
4-2-25 台 689.61
4-2-26 台 748.56
4-2-27 台 833.66
4-2-28 台 759.06
4-2-29 组 227.28
4-2-30 组 246.38
4-2-31 组 731.14
4-2-32 组 1508.52
4-2-33 组 1971.36
4-2-34 组 2390.14
4-2-35 组 2933.06
4-2-36 台 1360.06
4-2-37 台 2581.45
4-2-38 台 3699.83
4-2-39 台 5392.49
4-2-36 台 0.00
4-2-37 台 0.00
4-2-38 台 0.00
4-2-39 台 0.00
4-2-40 个 62.03
4-2-41 个 78.65
4-2-42 个 102.67
4-2-43 个 114.11
4-2-44 个 646.62
4-2-45 个 835.00
4-2-46 个 1010.67
4-2-47 个 435.37
4-2-48 台 749.12
4-2-49 台 775.46
4-2-50 台 973.42
4-2-51 台 1030.38
4-2-52 台 789.02
4-2-53 台 492.82
4-2-54 台 350.09
4-2-55 台 188.70
4-2-56 座 1283.88
4-2-57 座 1463.83
4-2-58 座 1610.33
4-2-59 座 1745.15
4-2-60 面 3482.19
4-2-61 面 3201.85
4-2-62 面 3498.62
4-2-63 面 1604.28
4-2-64 面 1462.53
4-2-65 面 1085.14
4-2-66 面 4099.44
4-2-67 面 3751.67
4-2-68 面 4120.01
4-2-69 面 1920.96
4-2-70 面 1751.85
