978-7-5160  0.00
5-1-1 台 0.00
5-1-2 台 0.00
5-1-3 台 306.80
5-1-4 台 40.98
5-1-5 台 51.10
5-1-6 台 91.63
5-1-7 台 0.00
5-1-8 台 101.75
5-1-9 台 51.10
5-1-10 台 123.82
5-1-11 台 63.05
5-1-12 台 312.96
5-1-13 台 45.78
5-1-14 台 105.14
5-1-15 台 102.70
5-1-16 台 111.47
5-1-17 台 324.18
5-1-18 台 61.84
5-1-19 台 163.13
5-1-20 台 223.92
5-1-21 台 623.62
5-1-22 台 346.29
5-1-23 台 818.09
5-1-24 台 0.00
5-1-25 台 1016.67
5-1-26 台 1303.20
5-1-27 台 1488.46
5-1-28 台 1876.28
5-1-29 台 341.23
5-1-30 台 423.37
5-1-31 台 628.15
5-1-32 台 633.50
5-1-33 台 1259.46
5-1-34 台 430.93
5-1-35 台 1056.89
5-1-36 台 435.29
5-1-37 台 844.07
5-1-38 台 1672.78
5-1-39 台 2525.76
5-1-40 台 3812.47
5-1-41 台 6477.41
5-1-42 台 42.70
5-1-43 台 549.84
5-1-44 台 1297.96
5-1-45 台 2788.90
5-1-46 台 138.50
5-1-47 台 74.19
5-1-48 台 540.20
5-1-49 台 871.19
5-1-50 台 1427.35
5-1-51 台 2829.47
5-1-52 台 759.21
5-1-53 台 1408.19
5-1-54 台 2264.52
5-1-55 台 181.56
5-1-56 台 230.76
5-1-57 台 332.05
5-1-58 台 218.77
5-1-59 台 320.06
5-1-60 台 465.48
5-1-61 条 61.55
5-1-62 条 71.79
5-1-63 条 92.22
5-1-64 条 102.62
5-1-65 条 123.04
5-1-66 条 65.67
5-1-67 条 96.07
5-1-68 条 65.67
5-1-69 条 96.07
5-1-70 条 55.54
5-1-71 条 97.87
5-1-72 条 0.00
5-1-73 条 0.00
5-1-74 台 222.22
5-1-75 台 327.16
5-1-76 台 634.66
5-1-77 台 1254.24
5-1-78 台 527.00
5-1-79 台 425.71
5-1-80 台 0.00
5-1-8 台 0.00
5-1-82 台 0.00
5-1-83 台 849.09
5-1-84 台 322.12
5-1-85 台 641.96
5-1-86 台 632.84
5-1-87 台 1042.55
5-1-88 台 1193.47
5-1-89 台 1875.65
5-1-90 台 724.31
5-1-91 台 320.46
5-1-92 台 421.75
5-1-93 台 725.61
5-1-94 台 133.93
5-1-95 台 176.13
5-1-96 台 258.63
5-1-97 台 1029.47
5-1-98 台 1637.18
5-1-99 台 218.57
5-1-100 台 372.74
5-1-101 台 68.65
5-1-102 台 316.30
5-1-103 套 40.52
5-1-104 套 81.03
5-1-105 套 60.77
5-1-106 套 121.54
5-1-107 套 422.99
5-1-108 套 1048.95
5-1-109 套 1674.90
5-1-110 系统 13070.82
5-1-111 系统 32708.99
