02-31-2016  0.00
6-1-1 支 0.00
6-1-2 支 0.00
6-1-3 支 0.00
6-1-4 支 0.00
6-1-5 支 0.00
6-1-6 支 91.19
6-1-7 支 68.61
6-1-8 支 66.05
6-1-9 支 174.58
6-1-10 支 266.07
6-1-11 支 145.11
6-1-12 支 199.13
6-1-13 支 250.01
6-1-14 支 319.27
6-1-15 支 371.95
6-1-16 支 460.19
6-1-17 支 10.93
6-1-18 支 116.68
6-1-19 支 120.25
6-1-20 支 70.24
6-1-21 支 78.95
6-1-22 支 143.92
6-1-23 支 431.05
6-1-24 支 0.00
6-1-25 支/组 101.49
6-1-26 支/组 131.67
6-1-27 支/组 233.79
6-1-28 支/组 343.68
6-1-29 支/组 469.01
6-1-30 支/组 31.12
6-1-31 支 73.29
6-1-32 支 110.13
6-1-33 支 197.42
6-1-34 支 0.00
6-1-35 支 0.00
6-1-36 支 0.00
6-1-37 支 0.00
6-1-38 支 0.00
6-1-39 支/组 56.74
6-1-40 支/组 609.27
6-1-42 支/组 2763.51
6-1-43 支/组 8451.94
6-1-44 支/组 11267.73
6-1-45 支/组 0.00
6-1-46 台(块) 8.91
6-1-47 台(块) 60.89
6-1-48 台(块) 90.63
6-1-49 台(块) 114.11
6-1-50 台(块) 125.34
6-1-51 台(块) 0.00
6-1-52 台(块) 0.00
6-1-53 台(块) 0.00
6-1-54 台(块) 0.00
6-1-55 台(块) 0.00
6-1-56 台 60.71
6-1-57 台 222.41
6-1-58 台 209.20
6-1-59 台 290.43
6-1-60 台 457.33
6-1-61 台 560.65
6-1-62 台 773.39
6-1-63 台 584.27
6-1-64 台 610.27
6-1-65 台 666.41
6-1-66 台 0.00
6-1-67 台 314.15
6-1-68 台 413.93
6-1-69 台 414.54
6-1-70 台 470.49
6-1-71 台 507.79
6-1-72 台 441.65
6-1-73 台 350.21
6-1-74 台 343.76
6-1-75 台 285.44
6-1-76 台 419.89
6-1-77 台 429.80
6-1-78 台 1485.77
6-1-79 台/组 478.32
6-1-80 台/组 550.99
6-1-81 台/组 560.32
6-1-82 台/组 673.98
6-1-83 台/组 1227.43
6-1-84 台/组 1095.95
6-1-85 台/组 1279.37
6-1-86 台 379.77
6-1-87 台 446.60
6-1-88 台 661.95
6-1-8 台 386.22
6-1-90 台 79.06
6-1-91 台 0.00
6-1-92 台 0.00
6-1-93 台 106.45
6-1-94 台 191.15
6-1-95 台 179.68
6-1-96 台 375.10
6-1-97 台 170.91
6-1-98 台(块) 84.64
6-1-99 台(块) 99.80
6-1-100 台(块) 113.00
6-1-101 台(块) 155.75
6-1-102 台(块) 259.36
6-1-103 台(块) 444.21
6-1-104 台(块) 0.00
6-1-105 台(块) 567.11
6-1-106 台(块) 727.72
6-1-107 台(块) 0.00
6-1-108 台 417.13
6-1-109 台 701.02
6-1-110 台 903.98
6-1-111 台 547.08
6-1-112 台 167.96
6-1-113 台 239.83
6-1-114 台 268.83
6-1-115 台 314.73
6-1-116 台 238.14
6-1-117 台 326.71
6-1-118 台 446.08
6-1-119 台 592.90
6-1-120 台 759.20
6-1-121 台 957.89
6-1-122 台 29.02
6-1-123 台 272.20
6-1-124 台 353.11
6-1-125 台 150.99
6-1-126 台 232.27
6-1-127 台 196.24
6-1-128 台 1125.21
6-1-129 台 826.87
6-1-130 台 1442.78
6-1-131 台 1749.04
6-1-132 台 1819.25
6-1-133 台 542.74
6-1-134 台 371.17
6-1-135 台 202.34
6-1-136 台 213.10
6-1-137 台 1398.05
6-1-138 台 219.75
6-1-139 台 1678.93
6-1-140 台 1933.84
6-1-141 台 1535.94
6-1-142 台 1603.11
6-1-143 台 498.98
6-1-144 台 822.25
6-1-145 台 1411.15
6-1-146 台 395.60
6-1-147 台 255.24
6-1-148 台 211.07
6-1-149 台 441.81
6-1-150 台 1719.72
6-1-151 台 175.88
6-1-152 台 173.67
6-1-153 台 0.00
6-1-154 台 0.00
6-1-155 台 0.00
6-1-156 台 0.00
6-1-157 台 0.00
6-1-158 台 0.00
6-1-159 台 252.37
6-1-160 台 323.28
6-1-161 台 330.32
6-1-162 台 323.09
6-1-163 台 0.00
6-1-164 台 0.00
6-1-165 台 145.48
6-1-166 台 170.77
6-1-167 台 176.04
6-1-168 台 251.28
6-1-169 台 175.10
6-1-170 台 187.81
6-1-171 台 205.16
6-1-172 台 182.85
6-1-173 台 171.78
6-1-174 台 203.57
6-2-1 台 30.19
6-2-2 台 315.67
6-2-3 台 341.56
6-2-4 台 377.02
6-2-5 台 0.00
6-2-6 台 489.93
6-2-7 台 407.26
6-2-8 台 357.42
6-2-9 台 516.30
6-2-10 台 0.00
6-2-11 台 526.80
6-2-12 台 492.42
6-2-13 台 687.43
6-2-14 台 1016.71
6-2-15 台 1259.47
6-2-16 台 1328.53
6-2-17 台 1516.87
6-2-18 台 50.77
6-2-19 台 63.59
6-2-20 台 63.52
6-2-21 台 56.84
6-2-22 台 55.94
6-2-23 台 73.71
6-2-24 台 73.99
6-2-25 台 62.84
6-2-26 台 60.09
6-2-27 台 13.92
6-2-28 台 194.88
6-2-29 台 211.04
6-2-30 台 149.18
6-2-31 台 300.02
6-2-32 台 371.38
6-2-33 台 423.49
6-2-34 台 498.13
6-2-35 台 691.67
6-2-36 台 0.00
6-2-37 台 514.01
6-2-38 台 518.39
6-2-39 台 358.70
6-2-40 台 411.21
6-2-41 台 109.28
6-2-42 台 296.76
6-2-43 台 333.16
6-2-44 台 629.35
6-2-45 台 115.43
6-2-46 台 117.83
6-2-47 台 41.18
6-2-48 台 57.04
6-2-49 台 52.46
6-2-50 台 0.00
6-2-51 台 29.06
6-2-52 台 24.13
6-2-53 台 21.11
6-2-54 台 26.90
6-2-55 台 24.44
6-2-56 台 23.71
6-2-57 台 109.24
6-2-58 台 122.16
6-2-59 台 107.53
6-2-60 台 19.80
6-2-61 台 17.55
6-2-62 台 20.32
6-2-63 台 35.62
6-2-64 台 36.43
6-2-65 台 45.89
6-2-66 台 36.24
6-2-67 台 19.24
6-2-68 台 21.35
6-2-69 台 340.65
6-2-70 台 487.48
6-2-71 台 391.33
6-2-72 台 411.06
6-2-73 台 0.00
6-2-74 台 411.57
6-2-75 台 428.46
6-2-76 台 614.85
6-2-77 台 590.52
6-2-78 台 531.90
6-2-79 台 446.34
6-2-80 台 566.71
6-2-81 台 656.18
6-2-82 台 690.81
6-2-83 台 924.31
6-2-84 台 1006.20
6-2-85 台 75.15
6-2-86 台 0.00
6-2-87 台 672.32
6-2-88 台 634.36
6-2-89 台 657.83
6-2-90 台 96.95
6-2-91 台 495.58
6-2-92 台 102.35
6-2-93 台 58.96
6-2-94 台 85.15
6-2-95 台 97.35
6-2-96 台 85.32
6-2-97 台 0.00
6-2-98 台 158.98
6-2-99 台 213.83
6-2-100 台 219.77
6-2-101 台 169.61
6-2-102 台(只) 239.37
6-2-103 台(只) 202.74
6-2-104 台(只) 78.96
6-2-105 台(只) 77.03
6-2-106 台(只) 71.05
6-2-107 台(只) 81.27
6-2-108 台(只) 82.42
6-2-109 台(只) 76.96
6-2-110 台(只) 73.28
6-2-111 台(只) 21.53
6-2-112 台(只) 26.29
6-2-113 台(只) 27.57
6-2-114 台 1033.05
6-2-115 台 1341.10
6-2-116 台 1918.76
6-2-117 台 2241.47
6-2-118 台 2387.01
6-2-119 套 91.01
6-2-120 套 136.20
6-2-121 套 150.90
6-2-122 套 183.32
6-2-123 套 217.47
6-2-124 套 170.39
6-2-125 套 215.15
6-2-126 套 260.09
6-2-127 套 304.69
6-2-128 套 305.13
6-2-129 套 521.64
6-2-130 套 737.75
6-2-131 套 147.96
6-2-132 套 376.62
6-3-1 套 0.00
6-3-2 套 0.00
6-3-3 套 0.00
6-3-4 套 0.00
6-3-5 套 0.00
6-3-6 套 0.00
6-3-7 套 1113.04
6-3-8 套 1187.59
6-3-9 套 1118.76
6-3-10 套 942.11
6-3-11 套 1213.64
6-3-12 套 1009.04
6-3-13 台 162.48
6-3-14 台 646.59
6-3-15 台 734.02
6-3-16 台 820.39
6-3-17 台 955.18
6-3-18 台 1971.89
6-3-19 台 11380.47
6-3-20 台 2001.99
6-3-21 台 2099.99
6-3-22 台 1695.61
6-3-23 台 1410.34
6-3-24 台 1955.89
6-3-25 次/套 1011.78
6-3-26 次/套 1384.91
6-3-27 次/套 1846.04
6-3-28 次/套 1321.34
6-3-29 次/套 1770.29
6-3-30 次/套 0.00
6-3-31 次/套 0.00
6-3-32 次/套 0.00
6-3-33 次/套 0.00
6-3-34 次/套 0.00
6-3-35 次/套 0.00
6-3-36 次/套 0.00
6-4-2 套 1570.84
6-4-3 套 1617.44
6-4-4 套 1303.73
6-4-5 套 1276.50
6-4-6 套 1301.33
6-4-7 套 0.00
6-4-8 套 1906.94
6-4-9 套 1888.93
6-4-10 套 1262.61
6-4-11 套 1375.85
6-4-12 套 1161.94
6-4-13 套 746.72
6-4-14 套 1332.51
6-4-16 套 1234.68
6-4-17 套 4438.16
6-4-18 套 3452.01
6-4-19 套 2221.17
6-4-20 套 1323.84
6-4-21 套 1609.08
6-4-22 套 1209.98
6-4-23 套 1162.93
6-4-24 套 910.44
6-4-25 套 1064.45
6-4-26 套 0.00
6-4-27 套 0.00
6-1-22 套 0.00
6-4-31 套 0.00
6-4-33 套 1347.50
6-4-34 套 1452.61
6-4-35 套 573.85
6-4-36 套 806.44
6-4-37 套 1921.25
6-4-38 套 0.00
6-4-39 套 0.00
6-4-40 套 936.03
6-4-41 套 960.19
6-4-42 套 844.64
6-4-43 套 728.93
6-4-45 套 835.26
6-4-46 套 1029.42
6-4-47 套 953.25
6-4-48 套 91669.61
6-4-50 套 552219.01
6-4-51 套 1484.64
6-4-52 套 0.00
6-4-53 套 0.00
6-4-54 套 0.00
6-4-55 套 0.00
6-4-56 套 0.00
6-4-57 套 0.00
6-4-58 套 0.00
6-4-59 套 0.00
6-4-60 套 0.00
6-4-61 台 1341.34
6-4-62 台 5056.57
6-4-63 台 7105.40
6-4-64 台 275.56
6-4-65 套 1476.51
6-4-66 套 1761.12
6-4-67 套 1484.67
6-4-68 套 1957.55
6-4-69 套 1246.46
6-4-70 套 1227.20
6-4-72 套 1289.75
6-5-1 套 419.73
6-5-2 套 468.60
6-5-3 套 703.46
6-5-4 套 1013.09
6-5-5 套 1992.52
6-5-6 套 1315.99
6-5-7 套 2036.97
6-5-8 套 1159.39
6-5-9 套 1256.18
6-5-10 套 1887.97
6-5-11 台 220.79
6-5-12 台 268.01
6-5-13 台 297.87
6-5-14 台 312.35
6-5-15 台 333.37
6-5-16 台 352.03
6-5-17 台 7.67
6-5-18 台 396.88
6-5-20 台 363.90
6-5-21 台 358.32
6-5-22 台 237.52
9-5-24 台 356.81
6-5-26 台 806.60
6-3-27 台 0.00
6-5-28 台 660.81
6-5-29 台 480.55
6-5-30 台 0.00
6-5-31 m2 244.58
6-5-32 m2 172.47
6-5-33 m2 169.93
6-5-34 点 174.97
6-5-35 点 698.18
6-5-36 点 1047.42
6-5-37 点 1571.19
6-5-38 点 31.59
6-5-39 台 38.60
6-5-42 台 48.83
6-5-43 台 102.02
6-5-44 台 43.33
6-5-45 台 59.50
6-5-46 台 1152.49
6-5-47 台 165.63
6-5-48 台 94.44
6-5-49 台 395.31
6-5-50 套 1634.14
6-5-51 套 2564.34
6-5-52 套 3685.66
6-5-53 套 251.10
6-5-54 套 737.10
6-5-55 套 988.17
6-5-56 套 2251.06
6-5-57 套 3613.60
6-5-58 套 5149.00
6-5-59 套 6517.18
6-5-60 套 0.00
6-5-61 套 7941.12
6-5-62 套 9001.50
6-5-63 套 10205.70
6-5-64 套 11788.86
6-5-65 套 100.86
6-5-66 套 1595.86
6-5-67 套 2643.24
6-5-68 套 3834.34
6-5-69 套 5089.62
6-5-70 套 6242.00
6-5-71 套 7650.24
6-5-72 套 698.52
6-5-73 套 2246.63
6-5-74 套 2437.76
6-5-75 套 1179.34
6-5-76 套 1877.41
6-5-77 套 0.00
6-5-78 套 0.00
6-5-79 套 358.20
6-5-80 套 690.66
6-5-81 套 1114.74
6-5-82 套 0.00
6-5-83 套 0.00
6-5-84 套 333.86
6-5-85 套 661.86
6-5-86 套 1025.16
6-5-87 套 1540.30
6-5-88 套 2218.46
6-5-89 套 2554.58
6-5-90 套 3556.45
6-5-91 套 181.46
6-5-92 套 1377.95
6-5-93 套 79.43
6-5-94 套 26.52
6-5-95 套 356.47
6-5-96 台(个) 1348.53
6-5-97 台(个) 828.90
6-5-98 台(个) 374.53
6-5-99 台(个) 258.57
6-5-100 台(个) 261.86
6-5-101 台(个) 78.65
6-5-102 套 578.42
6-5-103 套 830.06
6-5-104 套 870.59
6-5-105 套 1284.38
6-5-106 套 1728.88
6-5-107 套 2254.46
6-5-108 套 3472.55
6-5-109 套 4583.79
6-6-1 台 2300.70
6-6-2 台 52275.98
6-6-3 台 2245.95
6-6-4 台 66.33
6-6-5 台 0.00
6-6-6 台 0.00
6-6-7 台 0.00
6-6-1 台 0.00
6-6-2 台 0.00
6-6-3 台 0.00
6-6-4 台 0.00
6-6-5 台 0.00
6-6-6 台 0.00
6-6-7 台 0.00
6-6-8 台 126.32
6-6-9 台 128.01
6-6-10 台 101.91
6-6-11 台 42.35
6-6-12 台 0.00
6-6-13 台 42.76
6-6-14 台 323.16
6-6-15 台 247.05
6-6-16 台 134.60
6-6-17 台 95.34
6-6-18 台 724.78
6-6-19 台 299.54
6-6-20 台 67.28
6-6-21 台 76.06
6-6-22 台 70.85
6-6-23 台 81.55
6-6-24 台 50.94
6-6-25 台 208.76
6-6-26 台 431.73
6-6-27 台 500.31
6-6-28 台 20.21
6-6-29 台 25.77
6-6-30 台 18.44
6-6-31 台 21.40
6-6-32 套 13946.36
6-6-33 套 21146.73
6-6-34 套 27298.49
6-6-35 套 37892.28
6-6-36 套 45507.22
6-6-37 套 50737.45
6-6-38 套 0.00
6-6-39 套 11114.35
6-6-40 套 16473.04
6-6-41 套 22824.39
6-6-42 套 0.00
6-6-43 套 29374.37
6-6-44 套 35031.27
6-6-45 套 39695.07
6-6-46 套 45252.39
6-6-47 套 1052.04
6-6-48 台 1592.70
6-6-49 台 2147.51
6-6-50 台 1508.09
6-6-51 台 1716.40
6-6-52 台 2949.78
6-6-53 台 3756.44
6-6-54 台 0.00
6-6-55 台 0.00
6-6-56 台 0.00
6-6-57 台 0.00
6-6-58 台 0.00
6-6-59 台 629.36
6-6-60 台 1243.34
6-6-61 台 2537.04
6-6-62 台 3243.67
6-6-63 台 78.00
6-6-64 套/台 1204.28
6-6-65 套/台 1389.38
6-6-66 套/台 581204.28
6-6-67 套/台 926.59
6-6-68 套/台 167.08
6-6-69 套/台 0.00
6-6-70 套/台 0.00
6-6-71 套 1207.75
6-6-72 套 836.38
6-6-73 套 1290.84
6-6-74 套 1114.88
6-6-75 套 1161.91
6-6-76 套 1207.75
6-6-77 套 3573.78
6-6-78 套 1438.08
6-6-79 套 2433.48
6-6-80 套 3797.81
6-6-81 套 5228.94
6-6-82 套 7040.20
6-6-83 套 9645.32
6-6-84 套 12327.06
6-6-85 套 125.50
6-6-86 套 1113.30
6-6-87 套 1631.63
6-6-88 套 2274.39
6-6-89 套 3038.43
6-6-90 套 3723.37
6-6-91 套 4643.74
6-6-92 套 6025.66
6-6-93 套 7902.82
6-6-94 套 10845.09
6-6-95 套 23.97
6-6-96 套 2169.04
6-6-97 套 3441.55
6-6-98 套 4993.55
6-6-99 套 7210.94
6-6-100 套 9960.29
6-6-101 套 12884.30
6-6-102 套 37.99
6-6-103 套 1009.04
6-6-104 套 1464.65
6-6-105 套 2201.05
6-6-106 套 2719.49
6-6-107 套 3579.01
6-6-108 套 4769.28
6-6-109 套 6969.79
6-6-110 套 801.38
6-6-111 套 1151.71
6-6-112 套 1683.33
6-6-113 套 2114.50
6-6-114 套 2666.62
6-6-115 套 3387.14
