02-31-2016  0.00
9-1-1 10m 374.66
9-1-2 10m 432.76
9-1-3 10m 579.98
9-1-4 10m 608.47
9-1-5 10m 679.61
9-1-7 10m 729.95
9-1-8 10m 1182.99
9-1-9 10m 1181.91
9-1-10 10m 1309.33
9-1-11 10m 1947.56
9-1-12 10m 2247.26
9-1-13 10m 2602.06
9-1-14 10m 3179.82
9-1-15 10m 3608.32
9-1-16 10m 388.62
9-1-17 10m 427.30
9-1-18 10m 459.40
9-1-19 10m 544.07
9-1-20 10m 581.18
9-1-21 10m 652.00
9-1-22 10m 823.13
9-1-23 10m 925.86
9-1-24 10个 400.47
9-1-25 10个 443.80
9-1-26 10个 512.14
9-1-27 10个 763.41
9-1-28 10个 862.99
9-1-29 10个 1197.04
9-1-30 10个 1769.23
9-1-31 10个 1880.81
9-1-32 10m 523.33
9-1-33 10m 586.46
9-1-34 10m 574.45
9-1-35 10m 615.89
9-1-36 10m 545.88
9-1-37 10m 645.59
9-1-38 10m 728.17
9-1-39 10m 784.68
9-1-40 10m 928.05
9-1-41 10m 0.00
9-1-43 个 24.54
9-1-44 个 25.50
9-1-46 个 27.12
9-1-47 个 36.48
9-1-48 组 861.79
9-1-49 组 968.03
9-1-50 组 1185.11
9-1-51 组 1015.16
9-1-52 组 1139.16
9-1-53 组 1396.59
9-1-54 个 132.40
9-1-55 个 177.95
9-1-56 个 211.26
9-1-57 个 308.60
9-1-58 个 411.58
9-1-59 个 57.62
9-1-60 个 62.19
9-1-61 个 93.04
9-1-62 个 115.32
9-1-63 个 0.00
9-1-64 组 230.78
9-1-65 组 358.42
9-1-66 组 486.66
9-1-67 组 709.25
9-1-68 组 1049.35
9-1-64 组 0.00
9-1-65 组 0.00
9-1-66 组 0.00
9-1-67 组 0.00
9-1-68 组 0.00
9-1-69 个 91.47
9-1-70 个 114.02
9-1-71 个 133.41
9-1-72 个 154.30
9-1-73 个 177.22
9-1-74 组 207.13
9-1-75 组 230.39
9-1-76 套 31.79
9-1-77 套 169.15
9-1-78 套 215.10
9-1-79 套 201.39
9-1-80 套 256.71
9-1-81 套 193.14
9-1-82 套 245.50
9-1-83 套 230.70
9-1-84 套 294.30
9-1-85 套 274.99
9-1-86 套 342.23
9-1-87 套 316.63
9-1-88 套 0.00
9-1-89 套 339.14
9-1-90 套 378.47
9-1-91 套 481.57
9-1-92 套 519.60
9-1-93 套 370.33
9-1-94 套 486.52
9-1-95 套 625.19
9-1-96 套 769.80
9-1-97 套 560.17
9-1-98 套 699.33
9-1-99 具 1.82
9-1-100 具 6.47
9-1-101 台 179.22
9-1-102 台 230.71
9-1-103 台 288.94
9-1-104 台 127.15
9-2-1 10m 240.31
9-2-2 10m 252.78
9-2-3 10m 264.44
9-2-4 10m 297.69
9-2-5 10m 316.78
9-2-6 10m 331.44
9-2-7 10m 413.44
9-2-8 10m 459.69
9-2-9 10个 242.03
9-2-10 10个 291.05
9-2-11 10个 363.96
9-2-12 10个 487.50
9-2-13 10个 561.98
9-2-14 10个 659.68
9-2-15 10个 750.62
9-2-16 10个 808.93
9-2-17 10m 2352.41
9-2-18 10m 2509.32
9-2-19 10m 0.00
9-2-20 10m 360.03
9-2-21 10m 303.71
9-2-22 个 71.01
9-2-23 个 78.80
9-2-24 个 113.15
9-2-25 个 131.99
9-2-26 个 171.57
9-2-27 个 225.85
9-2-28 个 484.25
9-2-29 个 54.45
9-2-3 个 59.33
9-2-31 个 67.52
9-2-32 个 74.44
9-2-33 个 79.30
9-2-34 个 84.06
9-2-35 套 1649.88
9-2-36 套 2251.41
9-2-37 套 2628.27
9-2-38 套 3786.65
9-2-39 套 5602.81
9-2-40 套 892.50
9-2-41 套 387.41
9-2-42 套 445.32
9-2-43 套 41.66
9-2-44 套 1411.43
9-2-45 套 4.32
9-2-47 套 0.00
9-3-1 台 446.08
9-3-2 台 505.96
9-3-3 台 1260.64
9-3-4 台 2197.78
9-3-5 台 0.00
9-3-6 台 2554.91
9-3-7 台 3127.65
9-3-8 台 3681.44
9-3-9 台 4465.17
9-3-10 台 0.00
9-3-11 台 0.00
9-3-12 台 0.00
9-3-13 台 400.95
9-3-14 台 460.47
9-3-15 台 493.63
9-3-16 台 0.00
9-4-1 个 59.07
9-4-2 个 59.07
9-4-4 个 587.80
9-4-5 个 213.77
9-4-6 m 0.00
9-4-7 m 0.00
9-4-8 m 0.00
9-4-9 个 103.34
9-4-10 个 303.55
9-4-11 个 121.78
9-4-12 个 122.01
9-4-13 m 40.44
9-4-14 m 1564.45
9-4-15 m 2732.58
9-4-16 m 3384.77
9-4-18 个 44.11
9-4-19 个 24.59
9-4-20 个 75.50
9-4-21 个 59.49
9-4-22 个 20.91
9-4-23 个 348.73
9-4-24 个 395.37
9-4-25 个 370.49
9-4-26 个 492.62
9-4-27 个 413.88
9-4-28 个 537.66
9-4-29 台 100.67
9-4-30 台 107.99
9-4-31 台 952.33
9-4-32 台 1364.80
9-4-33 台 3114.57
9-4-34 台 5139.80
9-4-35 台 7023.96
9-4-36 台 4250.43
9-4-37 台 4544.64
9-4-38 台 4885.66
9-4-39 台 1735.29
9-4-40 台 2079.12
9-4-41 台 2974.74
9-4-42 台 5413.44
9-4-43 台 7140.70
9-4-44 台 8280.68
9-4-45 台 11420.01
9-4-46 台 5486.38
9-4-47 台 7184.33
9-4-48 台 8411.56
9-4-49 台 11486.28
9-4-50 台 12765.78
9-4-51 台 6067.39
9-4-52 台 6486.89
9-4-53 台 6903.38
9-4-54 台 7339.74
