02-31-2016  0.00
8-1-203 10m 1091.65
8-1-197 10m 0.00
8-1-198 10m 0.00
8-1-199 10m 0.00
8-1-200 10m 0.00
8-1-201 10m 0.00
8-1-202 10m 0.00
8-1-203 10m 0.00
8-1-204 10m 1218.40
8-1-205 10m 1425.69
8-1-206 10m 1597.00
8-1-207 10m 1885.80
8-1-208 10m 2176.11
8-1-209 10m 249.57
8-1-210 10m 320.76
8-1-211 10m 345.83
8-1-212 10m 526.65
8-1-213 10m 570.57
8-1-214 10m 604.07
8-1-215 10m 845.23
8-1-209 10m 0.00
8-1-210 10m 0.00
8-1-211 10m 0.00
8-1-212 10m 0.00
8-1-213 10m 0.00
8-1-214 10m 0.00
8-1-215 10m 0.00
8-1-2168 10m 1065.01
8-1-218 10m 1106.43
8-1-219 10m 1296.51
8-1-220 10m 1516.48
8-1-221 10m 1703.07
8-1-222 10m 2006.64
8-1-216 10m 0.00
8-1-217 10m 0.00
8-1-218 10m 0.00
8-1-219 10m 0.00
8-1-220 10m 0.00
8-1-221 10m 0.00
8-1-222 10m 0.00
8-1-223 10m 137.29
8-1-224 10m 154.09
8-1-225 10m 190.12
8-1-226 10m 209.90
8-1-227 10m 230.99
8-1-228 10m 271.79
8-1-229 10m 360.75
8-1-230 10m 388.96
8-1-231 10m 607.25
8-1-232 10m 641.19
8-1-233 10m 690.22
8-1-234 10m 741.65
8-1-235 10m 70.38
8-1-236 10m 80.52
8-1-237 10m 87.55
8-1-238 10m 104.38
8-1-239 10m 118.48
8-1-240 10m 143.88
8-1-241 10m 160.86
8-1-242 10m 263.95
8-1-243 10m 321.46
8-1-244 10m 397.58
8-1-245 10m 523.37
8-1-246 10m 662.17
8-1-247 10m 739.64
8-1-248 10m 856.74
8-1-249 10m 1000.36
8-1-250 10m 1305.67
8-1-251 10m 1603.96
8-1-252 10m 623.45
8-1-253 10m 741.30
8-1-254 10m 810.30
8-1-255 10m 960.92
8-1-256 10m 1148.25
8-1-257 10m 1498.36
8-1-258 10m 0.00
8-1-252 10m 0.00
8-1-253 10m 0.00
8-1-254 10m 0.00
8-1-255 10m 0.00
8-1-256 10m 0.00
8-1-257 10m 0.00
8-1-258 10m 0.00
8-1-259 10m 1774.51
8-1-260 10m 2094.84
8-1-261 10m 2458.96
8-1-262 10m 2983.79
8-1-263 10m 3469.56
8-1-264 10m 4031.74
8-1-265 10m 107.46
8-1-266 10m 143.20
8-1-267 10m 176.09
8-1-268 10m 219.04
8-1-269 10m 255.61
8-1-270 10m 275.22
8-1-271 10m 293.80
8-1-272 10m 457.21
8-1-273 10m 480.53
8-1-274 10m 550.17
8-1-275 10m 692.49
8-1-276 10m 746.06
8-1-277 10m 920.59
8-1-278 10m 1071.47
8-1-279 10m 577.32
8-1-280 10m 762.44
8-1-281 10m 977.63
8-1-282 10m 1126.98
8-1-283 10m 1413.60
8-1-284 10m 1633.70
8-1-285 10m 2008.31
8-1-286 10m 418.96
8-1-287 10m 463.01
8-1-288 10m 518.81
8-1-289 10m 549.98
8-1-290 10m 627.50
8-1-291 10m 779.93
8-1-292 10m 827.13
8-1-293 10m 924.05
8-1-294 10m 1139.47
8-1-295 10m 1412.58
8-1-296 10m 1633.92
8-1-297 10m 1730.14
8-1-298 10m 1943.57
8-1-299 10m 2129.57
8-1-300 10m 2420.56
8-1-301 根 51.66
8-1-302 根 55.41
8-1-303 根 58.81
8-1-304 根 62.61
8-1-305 根 69.23
8-1-306 根 80.43
8-1-307 根 0.00
8-1-308 根 0.00
8-1-309 根 0.00
8-1-310 根 0.00
8-1-311 根 0.00
8-1-312 根 92.66
8-1-313 根 103.63
8-1-314 根 107.56
8-1-315 根 135.99
8-1-316 根 153.98
8-1-317 根 175.41
8-1-318 根 239.56
8-1-319 根 261.71
8-1-320 根 324.69
8-1-321 10m 97.50
8-1-322 10m 105.17
8-1-323 10m 114.78
8-1-324 10m 133.14
8-1-325 10m 176.23
8-1-326 10m 239.40
8-1-327 10m 273.22
8-1-328 10m 0.00
8-1-329 10m 0.00
8-1-330 10m 0.00
8-1-331 10m 0.00
8-1-332 10m 0.00
8-1-333 10m 0.00
8-1-334 10m 77.20
8-1-335 10m 81.39
8-1-336 10m 86.37
8-1-337 10m 95.91
8-1-338 10m 120.63
8-1-339 10m 161.37
8-1-340 10m 172.20
8-1-341 10m 212.20
8-1-342 10m 243.18
8-1-343 10m 288.81
8-1-344 10m 317.92
8-1-345 10m 336.56
8-1-346 10m 386.53
8-1-347 10m 137.80
8-1-348 10m 148.01
8-1-349 10m 164.59
8-1-350 10m 187.84
8-1-351 10m 287.24
8-1-352 10m 390.11
8-1-353 10m 444.90
8-1-354 10m 556.82
8-1-355 10m 619.87
8-1-356 10m 777.09
8-1-357 10m 865.85
8-1-358 10m 970.79
8-1-359 10m 1443.27
8-1-360 10m 1559.39
8-1-361 10m 2024.96
8-1-362 10m 2631.36
8-1-363 10m 101.97
8-1-364 10m 151.71
8-1-365 10m 191.24
8-1-366 10m 271.81
8-1-367 10m 339.06
8-1-368 10m 431.84
8-1-369 10m 524.80
8-1-370 10m 393.92
8-1-371 10m 458.86
8-1-372 10m 524.43
8-1-373 10m 622.33
8-1-374 10m 716.39
8-1-375 10m 869.43
8-1-376 10m 1022.23
8-1-377 10m 171.10
8-1-378 10m 237.07
8-1-379 10m 283.08
8-1-380 10m 404.48
8-1-381 10m 450.31
8-1-382 10m 520.73
8-1-383 10m 660.64
8-1-384 10m 771.05
8-1-385 10m 1034.80
8-1-386 10m 1091.34
8-1-387 10m 1450.02
8-1-388 10m 0.00
8-1-389 10m 1723.94
8-1-390 10m 2533.48
8-1-391 10m 3189.59
8-1-392 10m 238.51
8-1-393 10m 316.92
8-1-394 10m 398.04
8-1-395 10m 555.19
8-1-396 10m 639.42
8-1-397 10m 809.63
8-1-398 10m 1086.13
8-1-399 10m 1310.75
8-1-400 10m 1799.96
8-1-401 10m 1958.69
8-1-402 10m 2439.74
8-1-403 10m 2717.91
8-1-404 10m 3338.76
8-1-405 10m 4605.73
8-1-406 10m 5627.63
8-1-407 10m 146.84
8-1-408 10m 212.52
8-1-409 10m 252.57
8-1-411 10m 371.44
8-1-412 10m 466.22
8-1-413 10m 584.26
8-1-414 10m 688.08
8-1-415 10m 916.86
8-1-417 10m 1187.73
8-1-418 10m 1274.32
8-1-419 10m 1505.30
8-1-420 10m 1959.94
8-1-421 10m 2414.49
8-1-422 10m 278.07
8-1-423 10m 295.58
8-1-424 10m 376.73
8-1-425 10m 418.29
8-1-426 10m 511.96
8-1-427 10m 823.42
8-1-428 10m 910.78
8-1-429 10m 1194.45
8-1-430 10m 1310.38
8-1-431 10m 1719.60
8-1-432 10m 1851.49
8-1-433 10m 2299.11
8-1-434 10m 114.73
8-1-435 10m 130.08
8-1-436 10m 144.54
8-1-437 10m 162.89
8-1-438 10m 182.72
8-1-441 10m 309.90
8-1-442 10m 446.89
8-1-443 10m 487.77
8-1-444 10m 523.54
8-1-445 10m 728.77
8-1-446 10m 941.77
8-1-449 10m 1025.29
8-1-450 10m 1427.77
8-1-451 10m 1749.44
8-1-452 10m 2020.07
8-1-453 10m 127.32
8-1-454 10m 141.09
8-1-455 10m 161.08
8-1-456 10m 182.16
8-1-457 10m 205.96
8-1-458 10m 234.93
8-1-459 10m 0.00
8-1-460 10m 0.00
8-1-461 10m 0.00
8-1-462 10m 0.00
8-1-463 10m 0.00
8-1-465 10m 1052.72
8-1-466 10m 1344.36
8-1-467 10m 1765.96
8-1-468 10m 2753.90
8-1-469 10m 0.00
8-1-470 10m 0.00
8-1-471 10m 0.00
8-1-472 10m 423.53
8-1-473 10m 494.06
